To Pimp a Butterfly, Kendrick Lamar
Good Kid, M.A.A.D. City, Kendrick Lamar
DAMN, Kendrick Lamar
Mr. Morale & The Big Steppers, Kendrick Lamar
GNX, Kendrick Lamar
CHROMAKOPIA, Tyler the Creator
CALL ME IF YOU GET LOST, Tyler the Creator
IGOR, Tyler the Creator
Flower Boy, Tyler the Creator
Blonde, Frank Ocean
Channel Orange, Frank Ocean
Luv 4 Rent, Smino
Alligator Bites Never Heal, Doechii
Circles, Mac Miller
The 7th Hand, Immanuel Wilkins
808s and Heartbreak, Kanye West
TWOPOINTFIVE, Amine
Malibu, Anderson .Paak
KAYTRAMINE, KAYTRAMINE
Melt My Eyez See Your Future, Denzel Curry
The Forever Story, JID
It's Almost Dry, Pusha T
Lupe Fiasco's Food and Liquor, Lupe Fiasco
A Kid Named Cudi, Kid Cudi
College Dropout, Kanye West
Acid Rap, Chance the Rapper
My Beautiful Dark Twisted Fantasy, Kanye West
KIDS SEE GHOSTS, KIDS SEE GHOSTS
Good For You, Amine
Ctrl, SZA
The Life of Pablo, Kanye West
Coloring Book, Chance the Rapper
Spilligion, Spillage Village
Because the Internet, Childish Gambino
Graduation, Kanye West
Split Decision, Dave
